"model_names","location.fun","scale.fun","shape.fun","AIC","BIC","variable"
"model_01","~name_electric.pole","~name_electric.pole","~name_electric.pole",-24003.9075490736,-20982.7749332156,"name_electric.pole"
"model_02","~name_electric.pole","~1","~1",-31714.8761064675,-30676.5870929029,"name_electric.pole"
"model_03","~1","~name_electric.pole","~1",-22969.5519580611,-22147.5731556558,"name_electric.pole"
"model_04","~1","~1","~name_electric.pole",-25987.0404129648,-24696.389486381,"name_electric.pole"
"model_05","~name_electric.pole","~name_electric.pole","~1",-29276.0745403647,-27812.3754448536,"name_electric.pole"
"model_07","~1","~name_electric.pole","~name_electric.pole",-22889.0129906363,-21079.2175572703,"name_electric.pole"
"model_02","~name_fence","~1","~1",-23879.1528715952,-22840.8638580306,"name_fence"
"model_03","~1","~name_fence","~1",-31855.7051009386,-30745.3126836543,"name_fence"
"model_05","~name_fence","~name_fence","~1",-27503.3776481681,-26299.250806048,"name_fence"
"model_06","~name_fence","~1","~name_fence",-32837.1966985107,-31460.0216874632,"name_fence"
"model_01","~name_house","~name_house","~name_house",-21788.3654165191,-20079.5147483607,"name_house"
"model_02","~name_house","~1","~1",-22802.2264950932,-21872.0925871083,"name_house"
"model_03","~1","~name_house","~1",-27426.1052402115,-26568.0747359464,"name_house"
"model_04","~1","~1","~name_house",-24898.4674640935,-23968.3335561086,"name_house"
"model_05","~name_house","~name_house","~1",-22181.64389166,-21020.7790917718,"name_house"
"model_06","~name_house","~1","~name_house",-22736.627625185,-20753.7840228915,"name_house"
"model_07","~1","~name_house","~name_house",-24357.3960754781,-22677.3867688076,"name_house"
"model_01","~name_house..group.","~name_house..group.","~name_house..group.",-20015.5228463968,-18306.6721782384,"name_house..group."
"model_02","~name_house..group.","~1","~1",-23269.997963193,-22339.864055208,"name_house..group."
"model_03","~1","~name_house..group.","~1",-26221.9692994035,-25291.8353914186,"name_house..group."
"model_04","~1","~1","~name_house..group.",-22972.3879033539,-21861.9954860695,"name_house..group."
"model_05","~name_house..group.","~name_house..group.","~1",-22646.6880966603,-21356.0371700765,"name_house..group."
"model_06","~name_house..group.","~1","~name_house..group.",-20874.8614035671,-19065.065970201,"name_house..group."
"model_07","~1","~name_house..group.","~name_house..group.",-22460.2238103563,-20996.5247148452,"name_house..group."
"model_01","~name_person","~name_person","~name_person",-22985.1770553359,-20923.0197089507,"name_person"
"model_02","~name_person","~1","~1",-23269.6426860577,-22447.6638836524,"name_person"
"model_03","~1","~name_person","~1",-23659.1189181818,-22765.0367120568,"name_person"
"model_04","~1","~1","~name_person",-28863.7932486659,-27753.4008313816,"name_person"
"model_05","~name_person","~name_person","~1",-23277.8740550867,-21900.6990440392,"name_person"
"model_06","~name_person","~1","~name_person",-24388.135520481,-23010.9605094335,"name_person"
"model_07","~1","~name_person","~name_person",-28496.9991397128,-27379.3963820564,"name_person"
"model_02","~name_special.building","~1","~1",-25179.9011981857,-24249.7672902008,"name_special.building"
"model_06","~name_special.building","~1","~name_special.building",-29147.0681855135,-27077.7004987563,"name_special.building"
"model_02","~name_street.light","~1","~1",-32492.6316014537,-31201.98067487,"name_street.light"
"model_03","~1","~name_street.light","~1",-24386.5997042854,-23420.4140944406,"name_street.light"
"model_04","~1","~1","~name_street.light",-24055.1654453,-23125.031537315,"name_street.light"
"model_05","~name_street.light","~name_street.light","~1",-38162.4202373656,-36136.3145928403,"name_street.light"
"model_06","~name_street.light","~1","~name_street.light",-23796.4674384314,-22073.1960895291,"name_street.light"
"model_07","~1","~name_street.light","~name_street.light",-25837.9850475914,-24460.810036544,"name_street.light"
"model_01","~name_tenement","~name_tenement","~name_tenement",-33236.7727989845,-31679.3392786377,"name_tenement"
"model_02","~name_tenement","~1","~1",-28592.6816000296,-27626.4959901848,"name_tenement"
"model_03","~1","~name_tenement","~1",-23937.5147799945,-23187.639381309,"name_tenement"
"model_04","~1","~1","~name_tenement",-32280.8101684529,-31098.3143474488,"name_tenement"
"model_05","~name_tenement","~name_tenement","~1",-25961.5897303523,-24757.4628882323,"name_tenement"
"model_06","~name_tenement","~1","~name_tenement",-30066.4077877724,-28905.5429878843,"name_tenement"
"model_07","~1","~name_tenement","~name_tenement",-28976.6968785784,-27902.356163154,"name_tenement"
"model_02","~name_traffic.light","~1","~1",-24069.3445841442,-22922.900465,"name_traffic.light"
"model_03","~1","~name_traffic.light","~1",-22929.8263086539,-21963.6406988091,"name_traffic.light"
"model_05","~name_traffic.light","~name_traffic.light","~1",-22965.0422490577,-21631.1292802421,"name_traffic.light"
"model_01","~name_traffic.sign","~name_traffic.sign","~name_traffic.sign",-27834.7491304876,-25924.0089319139,"name_traffic.sign"
"model_02","~name_traffic.sign","~1","~1",-31285.9676896591,-30067.4201667951,"name_traffic.sign"
"model_03","~1","~name_traffic.sign","~1",-31397.9946417501,-29999.1886095867,"name_traffic.sign"
"model_04","~1","~1","~name_traffic.sign",-28168.0853354225,-26913.4861106987,"name_traffic.sign"
"model_05","~name_traffic.sign","~name_traffic.sign","~1",-31543.6065523703,-30079.9074568591,"name_traffic.sign"
"model_06","~name_traffic.sign","~1","~name_traffic.sign",-26602.0110247765,-25224.836013729,"name_traffic.sign"
"model_07","~1","~name_traffic.sign","~name_traffic.sign",-23892.8774868325,-22515.702475785,"name_traffic.sign"
"model_01","~name_tree","~name_tree","~name_tree",-31202.7604304245,-29140.6030840393,"name_tree"
"model_02","~name_tree","~1","~1",-29802.0561437242,-28655.61202458,"name_tree"
"model_03","~1","~name_tree","~1",-30587.2538389026,-29368.7063160386,"name_tree"
"model_04","~1","~1","~name_tree",-35794.2429004537,-34395.4368682903,"name_tree"
"model_05","~name_tree","~name_tree","~1",-28503.9697160573,-27083.532662778,"name_tree"
"model_06","~name_tree","~1","~name_tree",-31818.7539362809,-30225.2687140742,"name_tree"
"model_07","~1","~name_tree","~name_tree",-28046.746480898,-26366.7371742276,"name_tree"
"model_01","~name_tree..group.","~name_tree..group.","~name_tree..group.",-28222.3817868127,-26261.1692056352,"name_tree..group."
"model_02","~name_tree..group.","~1","~1",-23132.120859659,-22274.0903553938,"name_tree..group."
"model_03","~1","~name_tree..group.","~1",-22340.6873123202,-21482.6568080551,"name_tree..group."
"model_04","~1","~1","~name_tree..group.",-23922.6034298996,-22884.3144163351,"name_tree..group."
"model_05","~name_tree..group.","~name_tree..group.","~1",-26604.8256791229,-25357.436794771,"name_tree..group."
"model_06","~name_tree..group.","~1","~name_tree..group.",-30376.2869999537,-28955.8499466744,"name_tree..group."
"model_07","~1","~name_tree..group.","~name_tree..group.",-23892.6994628426,-22515.5244517951,"name_tree..group."
"model_01","~name_truck","~name_truck","~name_truck",-25587.5395473125,-23979.6336443618,"name_truck"
"model_02","~name_truck","~1","~1",-31945.468125759,-30943.2308140543,"name_truck"
"model_03","~1","~name_truck","~1",-33680.1760998864,-32389.5251733026,"name_truck"
"model_04","~1","~1","~name_truck",-25284.1702204139,-24317.9846105691,"name_truck"
"model_05","~name_truck","~name_truck","~1",-35539.0981419342,-34075.399046423,"name_truck"
"model_06","~name_truck","~1","~name_truck",-25518.5753562016,-24227.9244296179,"name_truck"
"model_07","~1","~name_truck","~name_truck",-26061.333993696,-24857.207151576,"name_truck"
"model_01","~object","~object","~object",-31220.1337061621,-29460.8106553999,"object"
"model_02","~object","~1","~1",-23364.5938151201,-22542.6150127149,"object"
"model_03","~1","~object","~1",-23069.7465670841,-22247.7677646788,"object"
"model_04","~1","~1","~object",-32858.2544851113,-31675.7586641072,"object"
"model_05","~object","~object","~1",-28212.0211431923,-26791.584089913,"object"
"model_06","~object","~1","~object",-22473.3171880094,-21442.2385148168,"object"
"model_07","~1","~object","~object",-29398.8558358477,-28151.4669514958,"object"
"model_01","~velocity","~velocity","~velocity",-33962.0819123619,-31193.3112095231,"velocity"
"model_02","~velocity","~1","~1",-23688.2332634849,-22722.0476536401,"velocity"
"model_03","~1","~velocity","~1",-23190.2711620659,-22296.1889559409,"velocity"
"model_04","~1","~1","~velocity",-24056.5899909511,-23126.4560829662,"velocity"
"model_05","~velocity","~velocity","~1",-23615.3744781642,-22367.9855938123,"velocity"
"model_06","~velocity","~1","~velocity",-35389.0243068213,-33060.084366673,"velocity"
"model_07","~1","~velocity","~velocity",-30080.4223706146,-27967.7926416256,"velocity"
"model_01","~vertical_down","~vertical_down","~vertical_down",-33155.9294072978,-31497.5511217433,"vertical_down"
"model_02","~vertical_down","~1","~1",-27479.612392927,-26513.4267830822,"vertical_down"
"model_03","~1","~vertical_down","~1",-23198.2968604407,-22304.2146543157,"vertical_down"
"model_04","~1","~1","~vertical_down",-29744.8939124635,-28706.604898899,"vertical_down"
"model_05","~vertical_down","~vertical_down","~1",-29538.3179273886,-27988.0947474137,"vertical_down"
"model_06","~vertical_down","~1","~vertical_down",-22372.0185808083,-21297.6778653838,"vertical_down"
"model_07","~1","~vertical_down","~vertical_down",-24994.4806255771,-24006.6639946163,"vertical_down"
"model_01","~vertical_up","~vertical_up","~vertical_up",-31871.8748878855,-30062.0794545195,"vertical_up"
"model_02","~vertical_up","~1","~1",-26975.6551782639,-26117.6246739987,"vertical_up"
"model_03","~1","~vertical_up","~1",-26351.9981592482,-25385.8125494034,"vertical_up"
"model_04","~1","~1","~vertical_up",-30872.5496712251,-29509.7953409216,"vertical_up"
"model_05","~vertical_up","~vertical_up","~1",-31267.4426857601,-29890.2676747127,"vertical_up"
"model_06","~vertical_up","~1","~vertical_up",-35670.2870219558,-34076.801799749,"vertical_up"
"model_07","~1","~vertical_up","~vertical_up",-36908.8107121062,-35358.5875321313,"vertical_up"
